# Epoch, Batch Size, MSE
1.0, 2048.0, 0.4778992533683777
1.0, 2048.0, 0.47653791308403015
1.0, 2048.0, 0.4789879024028778
1.0, 512.0, 0.4830647110939026
1.0, 512.0, 0.47676005959510803
1.0, 512.0, 0.4721315801143646
1.0, 1024.0, 0.4626779556274414
1.0, 1024.0, 0.47318539023399353
1.0, 1024.0, 0.46865758299827576
10.0, 512.0, 0.4606880247592926
10.0, 512.0, 0.476043701171875
10.0, 512.0, 0.47661346197128296
1.0, 64.0, 0.5125827193260193
1.0, 64.0, 0.5231119990348816
1.0, 64.0, 0.5067680478096008
