# Epoch, Batch Size, MSE
1.0, 4.0, 0.5141888856887817
1.0, 12.0, 0.43915486335754395
1.0, 16.0, 0.4114993214607239
1.0, 32.0, 0.40726199746131897
1.0, 64.0, 0.37187764048576355
1.0, 256.0, 0.3819257915019989
1.0, 512.0, 0.3706648349761963
1.0, 1024.0, 0.3713294267654419
1.0, 2048.0, 0.35945993661880493
5.0, 4.0, 0.4453689455986023
5.0, 12.0, 0.461196631193161
5.0, 16.0, 0.449406236410141
5.0, 32.0, 0.4143604040145874
5.0, 64.0, 0.4000423550605774
5.0, 256.0, 0.4111693501472473
5.0, 512.0, 0.38545453548431396
5.0, 1024.0, 0.3861657679080963
5.0, 2048.0, 0.37801772356033325
10.0, 4.0, 0.43690699338912964
10.0, 12.0, 0.44043049216270447
10.0, 16.0, 0.44273823499679565
10.0, 32.0, 0.4060915410518646
10.0, 64.0, 0.4100044071674347
10.0, 256.0, 0.39412522315979004
10.0, 512.0, 0.37136244773864746
10.0, 1024.0, 0.3870929479598999
10.0, 2048.0, 0.3810468912124634
25.0, 4.0, 0.4583472013473511
25.0, 12.0, 0.4730026125907898
25.0, 16.0, 0.44881558418273926
25.0, 32.0, 0.4401938319206238
25.0, 64.0, 0.4049117863178253
25.0, 256.0, 0.4034247100353241
25.0, 512.0, 0.39649713039398193
25.0, 1024.0, 0.3933018147945404
25.0, 2048.0, 0.39031991362571716
50.0, 4.0, 0.5145546793937683
50.0, 12.0, 0.48299264907836914
50.0, 16.0, 0.48497718572616577
50.0, 32.0, 0.4488942623138428
50.0, 64.0, 0.44030892848968506
50.0, 256.0, 0.4129642844200134
50.0, 512.0, 0.41196712851524353
50.0, 1024.0, 0.4126320779323578
50.0, 2048.0, 0.40766432881355286
100.0, 4.0, 0.6270970106124878
100.0, 12.0, 0.5382240414619446
100.0, 16.0, 0.5719562768936157
100.0, 32.0, 0.5354827642440796
100.0, 64.0, 0.4936599135398865
100.0, 256.0, 0.49281904101371765
100.0, 512.0, 0.4803049862384796
100.0, 1024.0, 0.48286354541778564
100.0, 2048.0, 0.4792599678039551
