# Epoch, Batch Size, MSE
1.0, 4.0, 0.5231989622116089
1.0, 12.0, 0.40142080187797546
1.0, 16.0, 0.45977962017059326
1.0, 32.0, 0.44639095664024353
1.0, 64.0, 0.4122704565525055
1.0, 256.0, 0.39638304710388184
1.0, 512.0, 0.39839181303977966
1.0, 1024.0, 0.39559319615364075
1.0, 2048.0, 0.393477201461792
5.0, 4.0, 0.45732349157333374
5.0, 12.0, 0.4679245054721832
5.0, 16.0, 0.4091804325580597
5.0, 32.0, 0.40184348821640015
5.0, 64.0, 0.40564200282096863
5.0, 256.0, 0.39289095997810364
5.0, 512.0, 0.39617398381233215
5.0, 1024.0, 0.39206475019454956
5.0, 2048.0, 0.3917233943939209
10.0, 4.0, 0.4105220437049866
10.0, 12.0, 0.38238322734832764
10.0, 16.0, 0.44662484526634216
10.0, 32.0, 0.3879678547382355
10.0, 64.0, 0.3928803503513336
10.0, 256.0, 0.3838406205177307
10.0, 512.0, 0.3913516700267792
10.0, 1024.0, 0.3893025815486908
10.0, 2048.0, 0.38758090138435364
25.0, 4.0, 0.41298815608024597
25.0, 12.0, 0.39011499285697937
25.0, 16.0, 0.3742135763168335
25.0, 32.0, 0.37517139315605164
25.0, 64.0, 0.3702206313610077
25.0, 256.0, 0.3764466643333435
25.0, 512.0, 0.3765133321285248
25.0, 1024.0, 0.3726949691772461
25.0, 2048.0, 0.36960214376449585
50.0, 4.0, 0.4143105745315552
50.0, 12.0, 0.3653380870819092
50.0, 16.0, 0.4198439419269562
50.0, 32.0, 0.40142104029655457
50.0, 64.0, 0.36974138021469116
50.0, 256.0, 0.3810163140296936
50.0, 512.0, 0.3760496973991394
50.0, 1024.0, 0.3799166679382324
50.0, 2048.0, 0.37934017181396484
100.0, 4.0, 0.3811652660369873
100.0, 12.0, 0.37334394454956055
100.0, 16.0, 0.3583723306655884
100.0, 32.0, 0.37377840280532837
100.0, 64.0, 0.379083514213562
100.0, 256.0, 0.3671455383300781
100.0, 512.0, 0.3725614845752716
100.0, 1024.0, 0.36778080463409424
100.0, 2048.0, 0.36585718393325806
