Date,Slot,Load,Temperature,Humidity
09012017,21,2080,0,0
09012017,22,1961,0,0
09012017,23,1701,0,0
10012017,0,1541,0,0
10012017,1,1409,0,0
10012017,2,1342,0,0
10012017,3,1298,0,0
10012017,4,1322,0,0
10012017,5,1458,0,0
10012017,6,1696,0,0
10012017,7,1867,0,0
10012017,8,2072,0,0
10012017,9,2350,0,0
10012017,10,2486,0,0
10012017,11,2513,0,0
10012017,12,2453,0,0
10012017,13,2297,0,0
10012017,14,2319,0,0
10012017,15,2308,0,0
10012017,16,2329,0,0
10012017,17,2325,0,0
10012017,18,2399,0,0
10012017,19,2392,0,0
10012017,20,2261,0,0
10012017,21,2087,0,0
10012017,22,1865,0,0
10012017,23,1665,0,0
11012017,0,1454,0,0
11012017,1,1355,0,0
11012017,2,1292,0,0
11012017,3,1261,0,0
11012017,4,1277,0,0
11012017,5,1420,0,0
11012017,6,1677,0,0
11012017,7,1873,0,0
11012017,8,2033,0,0
11012017,9,2325,0,0
11012017,10,2428,0,0
11012017,11,2453,0,0
11012017,12,2394,0,0
11012017,13,2282,0,0
11012017,14,2303,0,0
11012017,15,2288,0,0
11012017,16,2302,0,0
11012017,17,2291,0,0
11012017,18,2393,0,0
11012017,19,2364,0,0
11012017,20,2185,0,0
11012017,21,2024,0,0
11012017,22,1820,0,0
11012017,23,1643,0,0
12012017,0,1416,0,0
12012017,1,1290,0,0
12012017,2,1228,0,0
12012017,3,1194,0,0
12012017,4,1216,0,0
12012017,5,1360,0,0
12012017,6,1647,0,0
12012017,7,1793,0,0
12012017,8,2099,0,0
12012017,9,2248,0,0
12012017,10,2398,0,0
12012017,11,2404,0,0
12012017,12,2328,0,0
12012017,13,2238,0,0
12012017,14,2247,0,0
12012017,15,2247,0,0
12012017,16,2257,0,0
12012017,17,2250,0,0
12012017,18,2235,0,0
12012017,19,2301,0,0
12012017,20,2155,0,0
12012017,21,2037,0,0
12012017,22,1801,0,0
12012017,23,1633,0,0
13012017,0,1391,0,0
13012017,1,1302,0,0
13012017,2,1249,0,0
13012017,3,1222,0,0
13012017,4,1243,0,0
13012017,5,1346,0,0
13012017,6,1641,0,0
13012017,7,1780,0,0
13012017,8,2076,0,0
13012017,9,2305,0,0
13012017,10,2461,0,0
13012017,11,2478,0,0
13012017,12,2436,0,0
13012017,13,2322,0,0
13012017,14,2315,0,0
13012017,15,2318,0,0
13012017,16,2319,0,0
13012017,17,2309,0,0
13012017,18,2360,0,0
13012017,19,2346,0,0
13012017,20,2219,0,0
13012017,21,2046,0,0
13012017,22,1824,0,0
13012017,23,1700,0,0
14012017,0,1456,0,0
14012017,1,1351,0,0
14012017,2,1291,0,0
14012017,3,1250,0,0
14012017,4,1272,0,0
14012017,5,1382,0,0
14012017,6,1518,0,0
14012017,7,1711,0,0
14012017,8,1887,0,0
14012017,9,2148,0,0
14012017,10,2278,0,0
14012017,11,2284,0,0
14012017,12,2274,0,0
14012017,13,2129,0,0
14012017,14,2112,0,0
14012017,15,2096,0,0
14012017,16,2079,0,0
14012017,17,2064,0,0
14012017,18,2219,0,0
14012017,19,2283,0,0
14012017,20,2191,0,0
14012017,21,2069,0,0
14012017,22,1905,0,0
14012017,23,1694,0,0
15012017,0,1547,0,0
15012017,1,1435,0,0
15012017,2,1349,0,0
15012017,3,1321,0,0
15012017,4,1324,0,0
15012017,5,1387,0,0
15012017,6,1499,0,0
15012017,7,1564,0,0
15012017,8,1726,0,0
15012017,9,1830,0,0
15012017,10,1965,0,0
15012017,11,1961,0,0
15012017,12,1960,0,0
15012017,13,1893,0,0
15012017,14,1810,0,0
15012017,15,1779,0,0
15012017,16,1783,0,0
15012017,17,1827,0,0
15012017,18,1960,0,0
15012017,19,2063,0,0
15012017,20,2075,0,0
15012017,21,1910,0,0
15012017,22,1886,0,0
15012017,23,1698,0,0
16012017,0,1537,0,0
16012017,1,1405,0,0
16012017,2,1353,0,0
16012017,3,1323,0,0
16012017,4,1351,0,0
16012017,5,1467,0,0
16012017,6,1729,0,0
16012017,7,1856,0,0
16012017,8,2162,0,0
16012017,9,2361,0,0
16012017,10,2562,0,0
16012017,11,2578,0,0
16012017,12,2548,0,0
16012017,13,2415,0,0
16012017,14,2418,0,0
16012017,15,2426,0,0
16012017,16,2429,0,0
16012017,17,2406,0,0
16012017,18,2454,0,0
16012017,19,2441,0,0
16012017,20,2266,0,0
16012017,21,2105,0,0
16012017,22,1916,0,0
16012017,23,1755,0,0
17012017,0,1547,0,0
17012017,1,1432,0,0
17012017,2,1365,0,0
17012017,3,1335,0,0
17012017,4,1358,0,0
17012017,5,1487,0,0
17012017,6,1706,0,0
17012017,7,1896,0,0
17012017,8,2168,0,0
17012017,9,2371,0,0
17012017,10,2558,0,0
17012017,11,2552,0,0
17012017,12,2500,0,0
17012017,13,2388,0,0
17012017,14,2411,0,0
17012017,15,2401,0,0
17012017,16,2399,0,0
17012017,17,2373,0,0
17012017,18,2425,0,0
17012017,19,2383,0,0
17012017,20,2260,0,0
17012017,21,2067,0,0
17012017,22,1870,0,0
17012017,23,1659,0,0
18012017,0,1532,0,0
18012017,1,1368,0,0
18012017,2,1310,0,0
18012017,3,1286,0,0
18012017,4,1303,0,0
18012017,5,1417,0,0
18012017,6,1707,0,0
18012017,7,1883,0,0
18012017,8,2088,0,0
18012017,9,2378,0,0
18012017,10,2458,0,0
18012017,11,2504,0,0
18012017,12,2454,0,0
18012017,13,2362,0,0
18012017,14,2373,0,0
18012017,15,2382,0,0
18012017,16,2387,0,0
18012017,17,2387,0,0
18012017,18,2423,0,0
18012017,19,2413,0,0
18012017,20,2320,0,0
18012017,21,2116,0,0
18012017,22,1896,0,0
18012017,23,1721,0,0
19012017,0,1555,0,0
19012017,1,1406,0,0
19012017,2,1341,0,0
19012017,3,1307,0,0
19012017,4,1327,0,0
19012017,5,1468,0,0
19012017,6,1742,0,0
19012017,7,1897,0,0
19012017,8,2236,0,0
19012017,9,2395,0,0
19012017,10,2579,0,0
19012017,11,2585,0,0
19012017,12,2553,0,0
19012017,13,2429,0,0
19012017,14,2454,0,0
19012017,15,2463,0,0
19012017,16,2461,0,0
19012017,17,2448,0,0
19012017,18,2501,0,0
19012017,19,2479,0,0
19012017,20,2330,0,0
19012017,21,2165,0,0
19012017,22,1967,0,0
19012017,23,1782,0,0
20012017,0,1567,0,0
20012017,1,1430,0,0
20012017,2,1363,0,0
20012017,3,1335,0,0
20012017,4,1350,0,0
20012017,5,1486,0,0
20012017,6,1708,0,0
20012017,7,1911,0,0
20012017,8,2220,0,0
20012017,9,2414,0,0
20012017,10,2611,0,0
20012017,11,2627,0,0
20012017,12,2568,0,0
20012017,13,2460,0,0
20012017,14,2463,0,0
20012017,15,2450,0,0
20012017,16,2464,0,0
20012017,17,2446,0,0
20012017,18,2499,0,0
20012017,19,2482,0,0
20012017,20,2298,0,0
20012017,21,2182,0,0
20012017,22,1953,0,0
20012017,23,1793,0,0
21012017,0,1581,0,0
21012017,1,1474,0,0
21012017,2,1403,0,0
21012017,3,1360,0,0
21012017,4,1372,0,0
21012017,5,1514,0,0
21012017,6,1650,0,0
21012017,7,1836,0,0
21012017,8,2013,0,0
21012017,9,2338,0,0
21012017,10,2447,0,0
21012017,11,2506,0,0
21012017,12,2473,0,0
21012017,13,2350,0,0
21012017,14,2325,0,0
21012017,15,2319,0,0
21012017,16,2330,0,0
21012017,17,2320,0,0
21012017,18,2348,0,0
21012017,19,2353,0,0
21012017,20,2237,0,0
21012017,21,2131,0,0
21012017,22,1999,0,0
21012017,23,1891,0,0
22012017,0,1738,0,0
22012017,1,1656,0,0
22012017,2,1610,0,0
22012017,3,1584,0,0
22012017,4,1591,0,0
22012017,5,1637,0,0
22012017,6,1744,0,0
22012017,7,1820,0,0
22012017,8,1876,0,0
22012017,9,1900,0,0
22012017,10,1987,0,0
22012017,11,2032,0,0
22012017,12,2048,0,0
22012017,13,1959,0,0
22012017,14,1920,0,0
22012017,15,1858,0,0
22012017,16,1853,0,0
22012017,17,1870,0,0
22012017,18,2004,0,0
22012017,19,2088,0,0
22012017,20,2033,0,0
22012017,21,1972,0,0
22012017,22,1893,0,0
22012017,23,1787,0,0
23012017,0,1597,0,0
23012017,1,1494,0,0
23012017,2,1429,0,0
23012017,3,1384,0,0
23012017,4,1399,0,0
23012017,5,1535,0,0
23012017,6,1740,0,0
23012017,7,1940,0,0
23012017,8,2241,0,0
23012017,9,2488,0,0
23012017,10,2720,0,0
23012017,11,2726,0,0
23012017,12,2695,0,0
23012017,13,2584,0,0
23012017,14,2612,0,0
23012017,15,2637,0,0
23012017,16,2610,0,0
23012017,17,2578,0,0
23012017,18,2549,0,0
23012017,19,2561,0,0
23012017,20,2504,0,0
23012017,21,2219,0,0
23012017,22,2077,0,0
23012017,23,1871,0,0
24012017,0,1727,0,0
24012017,1,1594,0,0
24012017,2,1513,0,0
24012017,3,1471,0,0
24012017,4,1487,0,0
24012017,5,1641,0,0
24012017,6,1822,0,0
24012017,7,1998,0,0
24012017,8,2311,0,0
24012017,9,2542,0,0
24012017,10,2703,0,0
24012017,11,2779,0,0
24012017,12,2775,0,0
24012017,13,2630,0,0
24012017,14,2662,0,0
24012017,15,2677,0,0
24012017,16,2686,0,0
24012017,17,2651,0,0
24012017,18,2633,0,0
24012017,19,2631,0,0
24012017,20,2488,0,0
24012017,21,2281,0,0
24012017,22,2161,0,0
24012017,23,1928,0,0
25012017,0,1774,0,0
25012017,1,1631,0,0
25012017,2,1555,0,0
25012017,3,1514,0,0
25012017,4,1520,0,0
25012017,5,1680,0,0
25012017,6,1858,0,0
25012017,7,1993,0,0
25012017,8,2318,0,0
25012017,9,2564,0,0
25012017,10,2769,0,0
25012017,11,2776,0,0
25012017,12,2723,0,0
25012017,13,2646,0,0
25012017,14,2685,0,0
25012017,15,2684,0,0
25012017,16,2670,0,0
25012017,17,2644,0,0
25012017,18,2666,0,0
25012017,19,2667,0,0
25012017,20,2496,0,0
25012017,21,2344,0,0
25012017,22,2153,0,0
25012017,23,1949,0,0
26012017,0,1813,0,0
26012017,1,1699,0,0
26012017,2,1584,0,0
26012017,3,1533,0,0
26012017,4,1537,0,0
26012017,5,1618,0,0
26012017,6,1750,0,0
26012017,7,1766,0,0
26012017,8,1872,0,0
26012017,9,1965,0,0
26012017,10,2027,0,0
26012017,11,2063,0,0
26012017,12,2047,0,0
26012017,13,1968,0,0
26012017,14,1932,0,0
26012017,15,1903,0,0
26012017,16,1906,0,0
26012017,17,1927,0,0
26012017,18,2038,0,0
26012017,19,2173,0,0
26012017,20,2153,0,0
26012017,21,2072,0,0
26012017,22,1965,0,0
26012017,23,1840,0,0
27012017,0,1688,0,0
27012017,1,1535,0,0
27012017,2,1494,0,0
27012017,3,1456,0,0
27012017,4,1468,0,0
27012017,5,1589,0,0
27012017,6,1751,0,0
27012017,7,1957,0,0
27012017,8,2168,0,0
27012017,9,2521,0,0
27012017,10,2656,0,0
27012017,11,2701,0,0
27012017,12,2669,0,0
27012017,13,2522,0,0
27012017,14,2532,0,0
27012017,15,2525,0,0
27012017,16,2526,0,0
27012017,17,2483,0,0
27012017,18,2528,0,0
27012017,19,2508,0,0
27012017,20,2334,0,0
27012017,21,2184,0,0
27012017,22,2043,0,0
27012017,23,1932,0,0
28012017,0,1637,0,0
28012017,1,1528,0,0
28012017,2,1435,0,0
28012017,3,1391,0,0
28012017,4,1395,0,0
28012017,5,1510,0,0
28012017,6,1642,0,0
28012017,7,1793,0,0
28012017,8,1967,0,0
28012017,9,2155,0,0
28012017,10,2390,0,0
28012017,11,2430,0,0
28012017,12,2412,0,0
28012017,13,2314,0,0
28012017,14,2309,0,0
28012017,15,2304,0,0
28012017,16,2326,0,0
28012017,17,2309,0,0
28012017,18,2415,0,0
28012017,19,2443,0,0
28012017,20,2280,0,0
28012017,21,2173,0,0
28012017,22,1980,0,0
28012017,23,1868,0,0
29012017,0,1662,0,0
29012017,1,1565,0,0
29012017,2,1479,0,0
29012017,3,1431,0,0
29012017,4,1433,0,0
29012017,5,1506,0,0
29012017,6,1586,0,0
29012017,7,1643,0,0
29012017,8,1789,0,0
29012017,9,1937,0,0
29012017,10,2029,0,0
29012017,11,2062,0,0
29012017,12,2037,0,0
29012017,13,1979,0,0
29012017,14,1948,0,0
29012017,15,1899,0,0
29012017,16,1903,0,0
29012017,17,1928,0,0
29012017,18,2043,0,0
29012017,19,2158,0,0
29012017,20,2100,0,0
29012017,21,2029,0,0
29012017,22,2018,0,0
29012017,23,1875,0,0
30012017,0,1683,0,0
30012017,1,1554,0,0
30012017,2,1494,0,0
30012017,3,1445,0,0
30012017,4,1451,0,0
30012017,5,1567,0,0
30012017,6,1791,0,0
30012017,7,1998,0,0
30012017,8,2198,0,0
30012017,9,2495,0,0
30012017,10,2639,0,0
30012017,11,2700,0,0
30012017,12,2699,0,0
30012017,13,2608,0,0
30012017,14,2629,0,0
30012017,15,2645,0,0
30012017,16,2638,0,0
30012017,17,2615,0,0
30012017,18,2591,0,0
30012017,19,2604,0,0
30012017,20,2442,0,0
30012017,21,2221,0,0
30012017,22,2112,0,0
30012017,23,1947,0,0
31012017,0,1765,0,0
31012017,1,1646,0,0
31012017,2,1583,0,0
31012017,3,1523,0,0
31012017,4,1537,0,0
31012017,5,1629,0,0
31012017,6,1845,0,0
31012017,7,1945,0,0
31012017,8,2245,0,0
31012017,9,2485,0,0
31012017,10,2643,0,0
31012017,11,2671,0,0
31012017,12,2661,0,0
31012017,13,2533,0,0
31012017,14,2591,0,0
31012017,15,2639,0,0
31012017,16,2644,0,0
31012017,17,2596,0,0
31012017,18,2614,0,0
31012017,19,2590,0,0
31012017,20,2413,0,0
31012017,21,2241,0,0
31012017,22,2068,0,0
31012017,23,1905,0,0
01022017,0,1716,0,0
01022017,1,1573,0,0
01022017,2,1487,0,0
01022017,3,1441,0,0
01022017,4,1451,0,0
01022017,5,1569,0,0
01022017,6,1817,0,0
01022017,7,1945,0,0
01022017,8,2267,0,0
01022017,9,2429,0,0
01022017,10,2655,0,0
01022017,11,2665,0,0
01022017,12,2647,0,0
01022017,13,2558,0,0
01022017,14,2580,0,0
01022017,15,2596,0,0
01022017,16,2606,0,0
01022017,17,2568,0,0
01022017,18,2559,0,0
01022017,19,2557,0,0
01022017,20,2463,0,0
01022017,21,2287,0,0
01022017,22,2116,0,0
01022017,23,1933,0,0
02022017,0,1766,0,0
02022017,1,1598,0,0
02022017,2,1511,0,0
02022017,3,1466,0,0
02022017,4,1478,0,0
02022017,5,1625,0,0
02022017,6,1795,0,0
02022017,7,1991,0,0
02022017,8,2244,0,0
02022017,9,2497,0,0
02022017,10,2750,0,0
02022017,11,2762,0,0
02022017,12,2719,0,0
02022017,13,2618,0,0
02022017,14,2643,0,0
02022017,15,2638,0,0
02022017,16,2631,0,0
02022017,17,2589,0,0
02022017,18,2596,0,0
02022017,19,2592,0,0
02022017,20,2445,0,0
02022017,21,2243,0,0
02022017,22,2090,0,0
02022017,23,1950,0,0
03022017,0,1730,0,0
03022017,1,1613,0,0
03022017,2,1530,0,0
03022017,3,1484,0,0
03022017,4,1492,0,0
03022017,5,1628,0,0
03022017,6,1858,0,0
03022017,7,1999,0,0
03022017,8,2347,0,0
03022017,9,2538,0,0
03022017,10,2790,0,0
03022017,11,2826,0,0
03022017,12,2821,0,0
03022017,13,2723,0,0
03022017,14,2706,0,0
03022017,15,2700,0,0
03022017,16,2695,0,0
03022017,17,2596,0,0
03022017,18,2601,0,0
03022017,19,2608,0,0
03022017,20,2443,0,0
03022017,21,2250,0,0
03022017,22,2130,0,0
03022017,23,1924,0,0
04022017,0,1781,0,0
04022017,1,1650,0,0
04022017,2,1562,0,0
04022017,3,1510,0,0
04022017,4,1517,0,0
04022017,5,1685,0,0
04022017,6,1778,0,0
04022017,7,1912,0,0
04022017,8,2120,0,0
04022017,9,2470,0,0
04022017,10,2581,0,0
04022017,11,2602,0,0
04022017,12,2597,0,0
04022017,13,2448,0,0
04022017,14,2431,0,0
04022017,15,2423,0,0
04022017,16,2387,0,0
04022017,17,2350,0,0
04022017,18,2415,0,0
04022017,19,2432,0,0
04022017,20,2354,0,0
04022017,21,2144,0,0
04022017,22,2054,0,0
04022017,23,1886,0,0
05022017,0,1703,0,0
05022017,1,1602,0,0
05022017,2,1508,0,0
05022017,3,1461,0,0
05022017,4,1473,0,0
05022017,5,1563,0,0
05022017,6,1652,0,0
05022017,7,1726,0,0
05022017,8,1810,0,0
05022017,9,1987,0,0
05022017,10,2058,0,0
05022017,11,2078,0,0
05022017,12,2056,0,0
05022017,13,1943,0,0
05022017,14,1883,0,0
05022017,15,1842,0,0
05022017,16,1816,0,0
05022017,17,1826,0,0
05022017,18,1978,0,0
05022017,19,2074,0,0
05022017,20,2093,0,0
05022017,21,1912,0,0
05022017,22,1877,0,0
05022017,23,1755,0,0
06022017,0,1584,0,0
06022017,1,1463,0,0
06022017,2,1380,0,0
06022017,3,1345,0,0
06022017,4,1367,0,0
06022017,5,1497,0,0
06022017,6,1761,0,0
06022017,7,1918,0,0
06022017,8,2248,0,0
06022017,9,2415,0,0
06022017,10,2588,0,0
06022017,11,2604,0,0
06022017,12,2563,0,0
06022017,13,2452,0,0
06022017,14,2431,0,0
06022017,15,2431,0,0
06022017,16,2418,0,0
06022017,17,2354,0,0
06022017,18,2356,0,0
06022017,19,2368,0,0
06022017,20,2281,0,0
06022017,21,2078,0,0
06022017,22,1910,0,0
06022017,23,1709,0,0
07022017,0,1551,0,0
07022017,1,1405,0,0
07022017,2,1362,0,0
07022017,3,1322,0,0
07022017,4,1344,0,0
07022017,5,1497,0,0
07022017,6,1694,0,0
07022017,7,1922,0,0
07022017,8,2086,0,0
07022017,9,2405,0,0
07022017,10,2534,0,0
07022017,11,2568,0,0
07022017,12,2540,0,0
07022017,13,2436,0,0
07022017,14,2450,0,0
07022017,15,2444,0,0
07022017,16,2452,0,0
07022017,17,2438,0,0
07022017,18,2440,0,0
07022017,19,2454,0,0
